Entity,Code,Year,Energy_Source,Value
Africa,,2000,Electricity from fossil fuels (TWh),330.16
Africa,,2001,Electricity from fossil fuels (TWh),342.21
Africa,,2002,Electricity from fossil fuels (TWh),363.9
Africa,,2003,Electricity from fossil fuels (TWh),387.47
Africa,,2004,Electricity from fossil fuels (TWh),410.43
Africa,,2005,Electricity from fossil fuels (TWh),430.06
Africa,,2006,Electricity from fossil fuels (TWh),451.37
Africa,,2007,Electricity from fossil fuels (TWh),471.97998
Africa,,2008,Electricity from fossil fuels (TWh),479.28
Africa,,2009,Electricity from fossil fuels (TWh),479.21
Africa,,2010,Electricity from fossil fuels (TWh),533.43
Africa,,2011,Electricity from fossil fuels (TWh),538.66
Africa,,2012,Electricity from fossil fuels (TWh),564.37
Africa,,2013,Electricity from fossil fuels (TWh),573.79
Africa,,2014,Electricity from fossil fuels (TWh),588.19
Africa,,2015,Electricity from fossil fuels (TWh),610.17
Africa,,2016,Electricity from fossil fuels (TWh),611.23
Africa,,2017,Electricity from fossil fuels (TWh),631.89
Africa,,2018,Electricity from fossil fuels (TWh),638.15
Africa,,2019,Electricity from fossil fuels (TWh),636.96
Africa,,2020,Electricity from fossil fuels (TWh),612.89
Africa,,2021,Electricity from fossil fuels (TWh),635.06
Africa,,2022,Electricity from fossil fuels (TWh),670.19037
Asia,,2000,Electricity from fossil fuels (TWh),3537.95
Asia,,2001,Electricity from fossil fuels (TWh),3697.52
Asia,,2002,Electricity from fossil fuels (TWh),3999.67
Asia,,2003,Electricity from fossil fuels (TWh),4381.85
Asia,,2004,Electricity from fossil fuels (TWh),4719.1
Asia,,2005,Electricity from fossil fuels (TWh),5096.95
Asia,,2006,Electricity from fossil fuels (TWh),5535.55
Asia,,2007,Electricity from fossil fuels (TWh),6132.05
Asia,,2008,Electricity from fossil fuels (TWh),6245.5303
Asia,,2009,Electricity from fossil fuels (TWh),6531.77
Asia,,2010,Electricity from fossil fuels (TWh),7178.37
Asia,,2011,Electricity from fossil fuels (TWh),7891.71
Asia,,2012,Electricity from fossil fuels (TWh),8263.93
Asia,,2013,Electricity from fossil fuels (TWh),8687.8
Asia,,2014,Electricity from fossil fuels (TWh),9069.57
Asia,,2015,Electricity from fossil fuels (TWh),9027.089
