Country,Code,Year,"GDP_per_capita"
Albania,ALB,2018,12267.312
Algeria,DZA,2018,11773.642
Angola,AGO,2018,7588.662
Anguilla,AIA,2018,10206.005
Argentina,ARG,2018,23018.549
Armenia,ARM,2018,13588.856
Aruba,ABW,2018,32544.37
Australia,AUS,2018,54236.766
Austria,AUT,2018,52968.19
Azerbaijan,AZE,2018,15542.556
Bahamas,BHS,2018,32339.086
Bahrain,BHR,2018,49276.605
Bangladesh,BGD,2018,4428.1455
Barbados,BRB,2018,12009.456
Belarus,BLR,2018,21174.275
Belgium,BEL,2018,44205.297
Belize,BLZ,2018,5793.2246
Benin,BEN,2018,3118.2515
Bermuda,BMU,2018,50109.297
Bhutan,BTN,2018,11457.6455
Bolivia,BOL,2018,8489.708
Bosnia and Herzegovina,BIH,2018,13240.263
Botswana,BWA,2018,16123.994
Brazil,BRA,2018,14522.992
British Virgin Islands,VGB,2018,36693.86
Brunei,BRN,2018,70022.805
Bulgaria,BGR,2018,20390.068
Burkina Faso,BFA,2018,2054.6062
Burundi,BDI,2018,807.7167
Cambodia,KHM,2018,4267.497
Cameroon,CMR,2018,3606.3958
Canada,CAN,2018,49458.035
Cape Verde,CPV,2018,6825.9004
Central African Republic,CAF,2018,951.7136
Chad,TCD,2018,1620.899
Chile,CHL,2018,23286.533
China,CHN,2018,13819.324
Colombia,COL,2018,13782.132
Comoros,COM,2018,3181.9802
Congo,COG,2018,4925.4014
Costa Rica,CRI,2018,18217.113
Cote d'Ivoire,CIV,2018,4816.764
Croatia,HRV,2018,25104.54
Curacao,CUW,2018,21425.494
Cyprus,CYP,2018,31223.533
Czechia,CZE,2018,36724.83
Democratic Republic of Congo,COD,2018,1009.11975
Denmark,DNK,2018,51931.836
Djibouti,DJI,2018,5987.0894
Dominica,DMA,2018,9857.702
Dominican Republic,DOM,2018,17155.328
Ecuador,ECU,2018,11474.869
Egypt,EGY,2018,12278.8955
El Salvador,SLV,2018,7987.9927
Equatorial Guinea,GNQ,2018,26722.547
Estonia,EST,2018,32280.738
Eswatini,SWZ,2018,8628.518
Ethiopia,ETH,2018,2266.0593
Fiji,FJI,2018,14065.826
Finland,FIN,2018,44198.883
France,FRA,2018,43192.387
Gabon,GAB,2018,15297.462
Gambia,GMB,2018,2381.808
Georgia,GEO,2018,15141.594
Germany,DEU,2018,51284.934
Ghana,GHA,2018,5111.909
Greece,GRC,2018,26602.74
Grenada,GRD,2018,14948.8955
Guatemala,GTM,2018,7611.8486
Guinea,GIN,2018,2222.562
Guinea-Bissau,GNB,2018,1825.0135
Guyana,GUY,2018,12421.113
Haiti,HTI,2018,1580.17
Honduras,HND,2018,5359.8574
Hong Kong,HKG,2018,55578.684
Hungary,HUN,2018,27914.674
Iceland,ISL,2018,50344.73
India,IND,2018,6579.506
Indonesia,IDN,2018,11247.842
Iran,IRN,2018,13188.87
Iraq,IRQ,2018,11616.762
Ireland,IRL,2018,91647.37
