Country,Code,Year_x,Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),TotalEnergy,Year_y,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Continent
ASEAN (Ember),0,2018,811.36,0.0,252.7,1064.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Afghanistan,AFG,2018,0.2,0.0,0.97,1.17,2018.0,36686788.0,1290266.0,6147355.0,16402093.0,24377892.0,19401608.0,20284670.0,17596500.0,1252219.0,4857089.0,5334330.0,4920408.0,4343114.0,6468908.0,3881454.0,2608343.0,1586312.0,883719.0,416827.0,91481.0,4513.0,23.0,Asia
Africa,0,2018,638.15,10.56,166.31,815.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Africa (EI),0,2018,667.17883,11.58,165.29431,844.05314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Africa (Ember),0,2018,638.15,10.56,166.31,815.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,ALB,2018,0.0,0.0,8.47,8.47,2018.0,2877019.0,29625.0,156677.0,491484.0,941856.0,1958287.0,2385330.0,2263462.0,30142.0,127052.0,160919.0,173888.0,210667.0,474297.0,357749.0,342580.0,397162.0,316169.0,196515.0,79826.0,10365.0,205.0,Europe
Algeria,DZA,2018,71.32,0.0,0.78,72.1,2018.0,41927010.0,995429.0,4890948.0,12665336.0,18717688.0,26884240.0,29261328.0,27515180.0,994476.0,3895519.0,4326334.0,3448054.0,2873246.0,6729980.0,7098195.0,5277212.0,3625399.0,2235433.0,1010564.0,378233.0,33065.0,343.0,Africa
American Samoa,ASM,2018,0.16,0.0,0.0,0.16,2018.0,48445.0,893.0,4696.0,14328.0,22879.0,31308.0,34117.0,31530.0,924.0,3803.0,4942.0,4690.0,4204.0,8429.0,5329.0,5959.0,5522.0,3173.0,1188.0,286.0,27.0,0.0,
Angola,AGO,2018,2.93,0.0,9.9,12.83,2018.0,31273538.0,1194189.0,5577905.0,14243826.0,20085898.0,16229252.0,17029524.0,15055130.0,1146691.0,4383716.0,4749463.0,3916458.0,3163840.0,5029099.0,3631375.0,2346777.0,1556837.0,836778.0,365295.0,93489.0,6035.0,187.0,Africa
Antigua and Barbuda,ATG,2018,0.32,0.0,0.01,0.33,2018.0,91644.0,1027.0,5376.0,18119.0,32361.0,65189.0,73513.0,69438.0,1058.0,4349.0,6324.0,6419.0,6834.0,14646.0,13702.0,13383.0,12383.0,7394.0,3508.0,1379.0,284.0,12.0,North America
Argentina,ARG,2018,98.31,6.51,34.97,139.79000000000002,2018.0,44413590.0,687918.0,3617963.0,10745049.0,17753952.0,28578854.0,33659900.0,31576034.0,716460.0,2930045.0,3621698.0,3505388.0,3484329.0,6969468.0,6440309.0,5489241.0,4312405.0,3496914.0,2235799.0,1000186.0,231249.0,8642.0,South America
Armenia,ARM,2018,3.17,1.9,2.31,7.380000000000001,2018.0,2836563.0,38045.0,205538.0,573502.0,933012.0,1933721.0,2262993.0,2167068.0,39755.0,167493.0,198271.0,169693.0,162784.0,466820.0,441734.0,306851.0,381579.0,294912.0,123889.0,75483.0,8941.0,68.0,Europe
Aruba,ABW,2018,0.76,0.0,0.15,0.91,2018.0,105980.0,1055.0,5664.0,19150.0,31568.0,72402.0,86829.0,82780.0,1093.0,4609.0,6501.0,6985.0,6468.0,12419.0,13291.0,15224.0,17487.0,13309.0,6483.0,2016.0,132.0,1.0,
Asia,0,2018,10255.47,554.70996,2834.2598,13644.43976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Asia (Ember),0,2018,8911.62,547.82,2716.05,12175.490000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Asia Pacific (EI),0,2018,8957.321,553.589,2727.5432,12238.4532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
