Entity,Energy_Source,Value
Africa,Electricity from fossil fuels (TWh),11991.05035
Africa,Electricity from nuclear (TWh),287.8
Africa,Electricity from renewables (TWh),2893.224339
Asia,Electricity from fossil fuels (TWh),172286.3223
Asia,Electricity from nuclear (TWh),11877.60702
Asia,Electricity from renewables (TWh),41088.40867
Europe,Electricity from fossil fuels (TWh),54461.309199999996
Europe,Electricity from nuclear (TWh),26786.03973
Europe,Electricity from renewables (TWh),26472.97461
North America,Electricity from fossil fuels (TWh),72592.256
North America,Electricity from nuclear (TWh),20440.6361
North America,Electricity from renewables (TWh),23049.108079999998
Oceania,Electricity from fossil fuels (TWh),4990.60545
Oceania,Electricity from nuclear (TWh),0.0
Oceania,Electricity from renewables (TWh),1555.567183
South America,Electricity from fossil fuels (TWh),6011.7146
South America,Electricity from nuclear (TWh),465.138258
South America,Electricity from renewables (TWh),16073.3744
